X,Y,OBJECTID,name_e,nom_f,Label_e,Etiquette_f,min_scale_echelle,max_scale_echelle,url_e,url_f,Facility_Type_Installation,Public_Access,Accessible
-112.827275652287,53.6782921866617,202035,Sandy Beach - Walk In Tenting,,Sandy Beach - Walk In Tenting,,,,,,Front-Country Camping Area//Aire de camping,Yes//Oui,
-112.826132957136,53.6793280231624,202036,Sandy Beach - RV,,Sandy Beach - RV,,,,,,Front-Country Camping Area//Aire de camping,Yes//Oui,
-112.830745205408,53.6817252616186,202037,Sandy Beach - Winter Camping,,Sandy Beach - Winter Camping,,,,,,Front-Country Camping Area//Aire de camping,Yes//Oui,
-112.869265411683,53.6830916813438,202038,Administration Building,,Administration Building,,,,,,Parks Canada Offices//Bureaux de Parcs Canada,Yes//Oui,
-112.838241699711,53.5787808310617,202039,Visitor Centre,,Visitor Centre,,,,,,Visitor Centre / Interpretation Facility//Centre d'acceuil / Installation d'interprétation,Yes//Oui,
-112.87635386952,53.6166555916828,202040,Ski Area,,Ski Area,,,,,,Ski Area//Aire de ski,Yes//Oui,
-112.860053944387,53.6283273206215,202041,Ski Area,,Ski Area,,,,,,Ski Area//Aire de ski,Yes//Oui,
-112.85411098362,53.6344730588614,202042,Ski Area,,Ski Area,,,,,,Ski Area//Aire de ski,Yes//Oui,
-112.839116004436,53.6566463654362,202043,Ski Area,,Ski Area,,,,,,Ski Area//Aire de ski,Yes//Oui,
-112.813045906487,53.684600555134,202044,Ski Area,,Ski Area,,,,,,Ski Area//Aire de ski,Yes//Oui,
-112.819052362779,53.6798318880757,202045,Ski Area,,Ski Area,,,,,,Ski Area//Aire de ski,Yes//Oui,
-112.829662601938,53.6783193915874,202046,Astotin - Beach Washroom,,Astotin - Beach Washroom,,,,,,Washroom Facility//Toilettes,Yes//Oui,
-112.826459665653,53.6781273240513,202047,Walk-in Restroom,,Walk-in Restroom,,,,,,Washroom Facility//Toilettes,Yes//Oui,
-112.825072493497,53.6762627771353,202048, Wash House,,Wash House,,,,,,Washroom Facility//Toilettes,Yes//Oui,
-112.830625335365,53.6805823098619,202049,Astotin North Parking Lot Washrooms,,Astotin North Parking Lot Washrooms,,,,,,Washroom Facility//Toilettes,Yes//Oui,
-106.293692805816,53.979088007646,202050,Dumping Station,,Dumping Station,,,,,,Dumping Station//Station de vidange,Yes//Oui,
-106.070308147159,53.9387523255774,202051,Dumping Station,,Dumping Station,,,,,,Dumping Station//Station de vidange,Yes//Oui,
-106.047791447141,53.8382974416291,202052,Picnic Shelter,,Picnic Shelter,,,,,,Picnic / Day Use Area//Aire de pique-nique,Yes//Oui,
-106.048233008459,53.8379160713621,202053,Picnic Table 01,,Picnic Table 01,,,,,,Picnic / Day Use Area//Aire de pique-nique,Yes//Oui,
-106.048149607243,53.8381137108745,202054,Picnic Table 02,,Picnic Table 02,,,,,,Picnic / Day Use Area//Aire de pique-nique,Yes//Oui,
-106.047766967709,53.8381831115004,202055,Picnic Table 03,,Picnic Table 03,,,,,,Picnic / Day Use Area//Aire de pique-nique,Yes//Oui,
-106.047462878822,53.8383754012757,202056,Picnic Table 04,,Picnic Table 04,,,,,,Picnic / Day Use Area//Aire de pique-nique,Yes//Oui,
-106.047106476893,53.8384399412905,202057,Picnic Table 05,,Picnic Table 05,,,,,,Picnic / Day Use Area//Aire de pique-nique,Yes//Oui,
-106.066500685867,53.6403694520358,202058,Picnic Table 01,,Picnic Table 01,,,,,,Picnic / Day Use Area//Aire de pique-nique,Yes//Oui,
-106.068284867278,53.6382949216916,202059,Picnic Table 10,,Picnic Table 10,,,,,,Picnic / Day Use Area//Aire de pique-nique,Yes//Oui,
-106.066305807325,53.6401992914097,202060,Picnic Table 02,,Picnic Table 02,,,,,,Picnic / Day Use Area//Aire de pique-nique,Yes//Oui,
-106.066721638038,53.639743571302,202061,Picnic Table 03,,Picnic Table 03,,,,,,Picnic / Day Use Area//Aire de pique-nique,Yes//Oui,
-106.06715782695,53.6393646209465,202062,Picnic Table 04,,Picnic Table 04,,,,,,Picnic / Day Use Area//Aire de pique-nique,Yes//Oui,
-106.067281467219,53.6392171921019,202063,Picnic Table 05,,Picnic Table 05,,,,,,Picnic / Day Use Area//Aire de pique-nique,Yes//Oui,
-106.06752797684,53.6393507914621,202064,Picnic Table 06,,Picnic Table 06,,,,,,Picnic / Day Use Area//Aire de pique-nique,Yes//Oui,
-106.067839786126,53.6388714322906,202065,Picnic Table 07,,Picnic Table 07,,,,,,Picnic / Day Use Area//Aire de pique-nique,Yes//Oui,
-106.067898626812,53.6388613712959,202066,Picnic Table 08,,Picnic Table 08,,,,,,Picnic / Day Use Area//Aire de pique-nique,Yes//Oui,
