X,Y,OBJECTID,name_e,nom_f,url_e,url_f,site_num_site,min_scale_echelle,max_scale_echelle,PreserveGlobal
-115.543456509495,51.1875128466405,1259692,Tunnel Mountain Village 2,,,,B044,2000,,
-115.543757726382,51.187443405889,1259693,Tunnel Mountain Village 2,,,,B046,2000,,
-115.544210810134,51.1874490460834,1259694,Tunnel Mountain Village 2,,,,B047,2000,,
-115.544085172023,51.1873406653327,1259695,Tunnel Mountain Village 2,,,,B048,2000,,
-115.544512460102,51.1873657638082,1259696,Tunnel Mountain Village 2,,,,B049,2000,,
-115.544365544852,51.1872333820778,1259697,Tunnel Mountain Village 2,,,,B050,2000,,
-115.544655853452,51.1871103962981,1259698,Tunnel Mountain Village 2,,,,B052,2000,,
-115.545046691462,51.187093498624,1259699,Tunnel Mountain Village 2,,,,B053,2000,,
-115.544920926797,51.1869890735787,1259700,Tunnel Mountain Village 2,,,,B054,2000,,
-115.543959563294,51.1875309777642,1259701,Tunnel Mountain Village 2,,,,B045,2000,,
-115.544784328322,51.1872287011687,1259702,Tunnel Mountain Village 2,,,,B051,2000,,
-115.542953275796,51.1873008580139,1259703,Tunnel Mountain Village 2,,,,B056,2000,,
-115.543309285163,51.1873903495195,1259704,Tunnel Mountain Village 2,,,,B057,2000,,
-115.54319741964,51.1872445556305,1259705,Tunnel Mountain Village 2,,,,B058,2000,,
-115.54360062446,51.187334634011,1259706,Tunnel Mountain Village 2,,,,B059,2000,,
-115.543482589923,51.187184808047,1259707,Tunnel Mountain Village 2,,,,B060,2000,,
-115.543930656103,51.1872497286829,1259708,Tunnel Mountain Village 2,,,,B061,2000,,
-115.543793929038,51.1870937357591,1259709,Tunnel Mountain Village 2,,,,B062,2000,,
-115.544235762651,51.1871565992638,1259710,Tunnel Mountain Village 2,,,,B063,2000,,
-115.54409897404,51.1870025836822,1259711,Tunnel Mountain Village 2,,,,B064,2000,,
-115.544509904521,51.1870472593563,1259712,Tunnel Mountain Village 2,,,,B065,2000,,
-115.544372740135,51.1869051077382,1259713,Tunnel Mountain Village 2,,,,B066,2000,,
-115.544860491391,51.1869091981579,1259714,Tunnel Mountain Village 2,,,,B067,2000,,
-115.544738435998,51.1867870157178,1259715,Tunnel Mountain Village 2,,,,B068,2000,,
-115.543074517065,51.1874487464823,1259716,Tunnel Mountain Village 2,,,,B055,2000,,
-115.542928699368,51.1871818655195,1259717,Tunnel Mountain Village 2,,,,B069,2000,,
-115.542737240532,51.187064752489,1259718,Tunnel Mountain Village 2,,,,B070,2000,,
-115.54311960353,51.1871169885273,1259719,Tunnel Mountain Village 2,,,,B071,2000,,
-115.54330082273,51.1868601157842,1259720,Tunnel Mountain Village 2,,,,B074,2000,,
-115.544629002587,51.1866638042648,1259721,Tunnel Mountain Village 2,,,,B081,2000,,
-115.544486169699,51.186501801832,1259722,Tunnel Mountain Village 2,,,,B082,2000,,
-115.544040781558,51.1868515245346,1259723,Tunnel Mountain Village 2,,,,B077,2000,,
-115.543913433513,51.1866976267205,1259724,Tunnel Mountain Village 2,,,,B078,2000,,
-115.54434586191,51.1867591857796,1259725,Tunnel Mountain Village 2,,,,B079,2000,,
-115.544234616075,51.1865936203746,1259726,Tunnel Mountain Village 2,,,,B080,2000,,
-115.543754054698,51.1869607062182,1259727,Tunnel Mountain Village 2,,,,B075,2000,,
-115.543605242415,51.1867887385675,1259728,Tunnel Mountain Village 2,,,,B076,2000,,
-115.543421316334,51.1870317311616,1259729,Tunnel Mountain Village 2,,,,B073,2000,,
-115.543001507857,51.1869691395346,1259730,Tunnel Mountain Village 2,,,,B072,2000,,
-115.543087403762,51.1883544516119,1259731,Tunnel Mountain Village 2,,,,A001,2000,,
-115.543014749997,51.1881988483548,1259732,Tunnel Mountain Village 2,,,,A002,2000,,
-115.542704823764,51.1884026663276,1259733,Tunnel Mountain Village 2,,,,A003,2000,,
-115.542673155257,51.18823061819,1259734,Tunnel Mountain Village 2,,,,A004,2000,,
-115.542378083154,51.1882841600988,1259735,Tunnel Mountain Village 2,,,,A006,2000,,
-115.541121064633,51.1884719315073,1259736,Tunnel Mountain Village 2,,,,A014,2000,,
-115.54173744293,51.1883884918448,1259737,Tunnel Mountain Village 2,,,,A010,2000,,
-115.54142234458,51.1884354235356,1259738,Tunnel Mountain Village 2,,,,A012,2000,,
-115.541336895566,51.1885784624859,1259739,Tunnel Mountain Village 2,,,,A011,2000,,
-115.541689074384,51.1885319923499,1259740,Tunnel Mountain Village 2,,,,A009,2000,,
-115.542339161196,51.1884489701381,1259741,Tunnel Mountain Village 2,,,,A005,2000,,
-115.542025573495,51.1883412234614,1259742,Tunnel Mountain Village 2,,,,A008,2000,,
-115.542061545102,51.1884836567619,1259743,Tunnel Mountain Village 2,,,,A007,2000,,
-115.542988622451,51.1880650137668,1259744,Tunnel Mountain Village 2,,,,A015,2000,,
-115.542928583986,51.1879371157507,1259745,Tunnel Mountain Village 2,,,,A016,2000,,
-115.541085738416,51.1882023550544,1259746,Tunnel Mountain Village 2,,,,A026,2000,,
-115.541142199599,51.1883365679212,1259747,Tunnel Mountain Village 2,,,,A027,2000,,
