X,Y,OBJECTID,Name_e,Nom_f,Noms_Alt_Names,Descr_e,Descr_f,min_scale_echelle,max_scale_echelle,D_Source,D_Source_Code,url_e,url_f,Principal_type
-73.0346526342452,46.6799507856899,104611,Picnic Site Lake Boyer,Place de pique-nique Lac Boyer,,,,,,,,,,Picnic Site//Place de pique-nique
-72.8910021969153,46.7842439062757,104612,Lookout Lake du Fou,Belvédère Lac du Fou,,,,,,,,,,Lookout/Lookoff//Belvédère
-73.0735996490855,46.7367433785755,104613,Lookout Lake Gabet,Belvédère Lac Gabet,,,,,,,,,,Lookout/Lookoff//Belvédère
-73.0413066126711,46.6854073728502,104614,Picnic Site Lake Modène,Place de pique-nique Lac Modène,,,,,,,,,,Picnic Site//Place de pique-nique
-73.0474037672347,46.7535062549491,104615,Lookout Le Passage,Belvédère Le Passage,,,,,,,,,,Lookout/Lookoff//Belvédère
-73.0135442085251,46.670064576644,104616,Lookout Les Falaises - Vallerand,Belvédère Les falaises - Vallerand,,,,,,,,,,Lookout/Lookoff//Belvédère
-72.9214391232281,46.7654724722918,104617,Canoe Rental Edouard,Location canots Edouard,,,,,,,,,,Canoe Rental//Location de canot
-72.7963591271253,46.7546783943156,104618,Picnic Site Mékinac,Place de pique-nique Mékinac,,,,,,,,,,Picnic Site//Place de pique-nique
-72.8001447662976,46.7704014616396,104619,Lookout Mékinac ,Belvédère Mékinac (br-lage),,,,,,,,,,Lookout/Lookoff//Belvédère
-72.7949359117701,46.754578971576,104620,Lookout Mékinac ,Belvédère Mékinac (St-Maurice),,,,,,,,,,Lookout/Lookoff//Belvédère
-73.0116391819112,46.6841806056663,104621,Beach,Plage,,,,,,,,,,Beach//Plage
-73.014063608199,46.692635540993,104622,Beach,Plage,,,,,,,,,,Beach//Plage
-73.0186862418421,46.6994736356944,104623,Beach,Plage,,,,,,,,,,Beach//Plage
-73.0308566037668,46.7184248918444,104624,Beach,Plage,,,,,,,,,,Beach//Plage
-73.0364999816842,46.7207069314533,104625,Beach,Plage,,,,,,,,,,Beach//Plage
-73.0377498116946,46.7304247417955,104626,Beach,Plage,,,,,,,,,,Beach//Plage
-73.0377118956738,46.7352823170045,104627,Beach,Plage,,,,,,,,,,Beach//Plage
-73.0380444924931,46.7384629558181,104628,Beach,Plage,,,,,,,,,,Beach//Plage
-73.0473138738078,46.7483840214618,104629,Beach,Plage,,,,,,,,,,Beach//Plage
-73.0538936384121,46.7518312394596,104630,Beach,Plage,,,,,,,,,,Beach//Plage
-73.0152355036248,46.6584152171568,104631,Beach,Plage,,,,,,,,,,Beach//Plage
-73.0566839464043,46.756205457065,104632,Beach,Plage,,,,,,,,,,Beach//Plage
-72.9243432238549,46.7607800750957,104633,Beach,Plage,,,,,,,,,,Beach//Plage
-72.9075236129238,46.7318191668341,104634,Beach,Plage,,,,,,,,,,Beach//Plage
-73.0065160595193,46.6720482049473,104635,Beach,Plage,,,,,,,,,,Beach//Plage
-73.0085311855325,46.6727132794521,104636,Beach,Plage,,,,,,,,,,Beach//Plage
-73.0072675467973,46.6759608313282,104637,Beach,Plage,,,,,,,,,,Beach//Plage
-73.0085374066199,46.6760111290879,104638,Beach,Plage,,,,,,,,,,Beach//Plage
-73.0048640853128,46.6782111195763,104639,Beach,Plage,,,,,,,,,,Beach//Plage
-73.0028912145304,46.6831354582295,104640,Beach,Plage,,,,,,,,,,Beach//Plage
-73.0132842333001,46.6917760474172,104641,Beach,Plage,,,,,,,,,,Beach//Plage
-72.849300510414,46.7537400708249,104642,Bridge / culvert,"Pont, pont de bois ou ponceau Pimbina-Bouchard",,,,,,,,,,Bridge//Pont
-72.8555538864203,46.7485109647697,104643,Bridge / culvert,"Pont, pont de bois ou ponceau Pimbina",,,,,,,,,,Bridge//Pont
-73.0617935822461,46.7327011756032,104644,Bridge / culvert,"Pont, pont de bois ou ponceau","Ponceau Route Promenade (Km 40,516)",,,,,,,,,Bridge//Pont
-73.0565636989464,46.7245308965952,104645,Bridge / culvert,"Pont, pont de bois ou ponceau",,,,,,,,,,Bridge//Pont
-73.042485612438,46.7121415045763,104646,Bridge / culvert,"Pont, pont de bois ou ponceau",,,,,,,,,,Bridge//Pont
-73.0439141356993,46.6841953491485,104647,Bridge / culvert,"Pont, pont de bois ou ponceau","Ponceau Route Promenade (Km 54,030)",,,,,,,,,Bridge//Pont
-73.0339030561931,46.6854726402503,104648,Bridge / culvert,"Pont, pont de bois ou ponceau",,,,,,,,,,Bridge//Pont
-73.0343089327965,46.6724842272216,104649,Bridge / culvert,"Pont, pont de bois ou ponceau","Ponceau Route Promenade (Km 56,052)",,,,,,,,,Bridge//Pont
-73.0208650776664,46.6668526378463,104650,Bridge / culvert,"Pont, pont de bois ou ponceau","Ponceau Route Promenade (Km 57,530)",,,,,,,,,Bridge//Pont
